"lambda","beta","tau","mu","replication"
1,0.00673794699908547,0.00673794699908547,34.623717981082,1
1,0.0073791936408936,0.00673794699908547,31.1216577704345,1
1,0.00808146736642413,0.00673794699908547,38.9570083047449,1
1,0.0088505760890521,0.00673794699908547,32.319566689688,1
1,0.00969288045801528,0.00673794699908547,26.1413562399056,1
1,0.0106153464619767,0.00673794699908547,29.83762420346,1
1,0.0116256030388385,0.00673794699908547,37.8503479725042,1
1,0.01273200516825,0.00673794699908547,25.9941515230897,1
1,0.0139437029685936,0.00673794699908547,31.2478782526881,1
1,0.0152707173698934,0.00673794699908547,34.6715973705424,1
1,0.0167240229884704,0.00673794699908547,39.0680642943563,1
1,0.0183156388887342,0.00673794699908547,26.9455904023956,1
1,0.0200587279827216,0.00673794699908547,40.9451311112216,1
1,0.0219677058894355,0.00673794699908547,29.3270730327786,1
1,0.0240583601542644,0.00673794699908547,32.0535559844779,1
1,0.0263479808144487,0.00673794699908547,33.3307069631985,1
1,0.0288555033903882,0.00673794699908547,40.9364749310487,1
1,0.0316016654853529,0.00673794699908547,40.3777397207375,1
1,0.0346091782887005,0.00673794699908547,32.2551462956362,1
1,0.0379029144009585,0.00673794699908547,27.815874331183,1
1,0.0415101135341151,0.00673794699908547,35.6508477057854,1
1,0.0454606077882905,0.00673794699908547,44.6832545820848,1
1,0.0497870683678639,0.00673794699908547,47.1140804420132,1
1,0.0545252757774352,0.00673794699908547,34.0893471610245,1
1,0.0597144157321853,0.00673794699908547,35.3328670389677,1
1,0.0653974032298602,0.00673794699908547,38.8819140124582,1
1,0.0716212374645036,0.00673794699908547,48.6240459864099,1
1,0.0784373905171307,0.00673794699908547,39.590804949474,1
1,0.0859022330378763,0.00673794699908547,37.3932306535528,1
1,0.0940775004400739,0.00673794699908547,34.8564167030364,1
1,0.103030803461764,0.00673794699908547,46.1704990958105,1
1,0.112836187317057,0.00673794699908547,42.7187461530985,1
1,0.123574744061614,0.00673794699908547,43.8241589466332,1
1,0.135335283236613,0.00673794699908547,39.9690378619472,1
1,0.14821506633752,0.00673794699908547,40.6569237874117,1
1,0.162320611181848,0.00673794699908547,44.299040740256,1
1,0.177768572828138,0.00673794699908547,42.0142771166498,1
1,0.19468670833151,0.00673794699908547,46.3817560600012,1
1,0.213214933314462,0.00673794699908547,47.1954668720335,1
1,0.233506479090913,0.00673794699908547,39.6229298101859,1
1,0.255729159913101,0.00673794699908547,33.3027987702469,1
1,0.280066760821649,0.00673794699908547,38.3239160167333,1
1,0.306720557576557,0.00673794699908547,36.4795775195522,1
1,0.335910981239162,0.00673794699908547,44.8635942800542,1
1,0.367879441171442,0.00673794699908547,34.2007605943627,1
1,0.402890321529133,0.00673794699908547,31.0528958481243,1
1,0.441233167759984,0.00673794699908547,45.0580339268463,1
1,0.483225081189825,0.00673794699908547,40.0014628023316,1
1,0.52921334150005,0.00673794699908547,38.1097507792,1
